INGREDIENTS ,UNITS,UNIT TYPE,COST PER UNIT,TOTAL COST,PROCESS STEPS
VANILLA,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Vanilla extract,1.5,cup,,,
,,,,,
CHOCOLATE,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Cacao powder,1,cup,,,
,,,,,
CINNAMON,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Cinnamon ,1,cup,,,
,,,,,
COOKIES & CREAM ,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Vanilla ,1,cup,,,
Cacao cookie crumbles ,,grams,,,
,,,,,
CHOCO MINT ,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Cacao powder ,1,cup,,,
Mint extract ,,,,,
Mint ,,,,,
,,,,,
PEANUT BUTTER ,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Peanut butter ,2,cup,,,
,,,,,
COFFEE,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Coffee ,1,cup,,,
,,,,,
STRAWBERRY,,,,,
Strawberry (blended),3.5,liters,,,
Base ,1,bag,350,350,
Lemon,1,cup,,,
Salt ,1,tsp,,,
,,,,,
LEMON,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Lemon Juice ,1,cup,,,
Lemon Zest,100,grams,,,
Salt,1,tsp,,,
,,,,,
WATERMELON & LIME ,,,,,
Watermelon,8.5,kilos,,,3 liters oof blended sandia 
Base ,1,bag,350,350,
Lime ,18,limes,,,1.25 cups of lime juice
Salt ,1,tsp,,,
,,,,,
SWEET POTATO,,,,,
Sweet Potato,3,liters,,,
Base ,1,bag,350,350,
Cinnamon ,1,cup,,,
,,,,,
AVOCADO,,,,,
Avocado ,3,liters,,,
Base ,1,bag,350,350,
Cacao powder,1,cup,,,
,,,,,
"WINE (Port, Rose, etc)",,,,,
Water,2.2,liters,,,
WIne,800,ml,,,
Base ,1,bag,350,350,
Vanilla extract,1,cup,,,
,,,,,
ORANGE CACAO,,,,,
Water,2,liters,,,
Orange Juice,1,liters,,,
Base ,1,bag,350,350,
Cacao powder,1,cup,,,
Orange Zest,80,g,,,
,,,,,
PISTACHIO ,,,,,
Water,3,liters,,,
Base ,1,bag,350,350,
Pstashio ,600,grams,,,